game_id,points,swaps,total_cascades,reached_target,stopping_reason,moves_to_10000
0,10010,229,606,True,REACHED_TARGET,229
1,10000,196,579,True,REACHED_TARGET,196
2,10010,230,656,True,REACHED_TARGET,230
3,10055,205,618,True,REACHED_TARGET,205
4,10140,223,640,True,REACHED_TARGET,223
5,10010,198,599,True,REACHED_TARGET,198
6,10085,220,629,True,REACHED_TARGET,220
7,10010,258,676,True,REACHED_TARGET,258
8,10080,243,663,True,REACHED_TARGET,243
9,10060,221,621,True,REACHED_TARGET,221
10,10005,203,613,True,REACHED_TARGET,203
11,10050,215,621,True,REACHED_TARGET,215
12,10095,210,650,True,REACHED_TARGET,210
13,10235,181,564,True,REACHED_TARGET,181
14,10035,236,624,True,REACHED_TARGET,236
15,10010,229,656,True,REACHED_TARGET,229
16,10020,213,623,True,REACHED_TARGET,213
17,10015,198,635,True,REACHED_TARGET,198
18,10025,217,632,True,REACHED_TARGET,217
19,10140,232,633,True,REACHED_TARGET,232
20,10020,229,653,True,REACHED_TARGET,229
21,10045,220,621,True,REACHED_TARGET,220
22,10000,227,637,True,REACHED_TARGET,227
23,10040,194,599,True,REACHED_TARGET,194
24,10035,194,632,True,REACHED_TARGET,194
25,10100,239,658,True,REACHED_TARGET,239
26,10000,221,636,True,REACHED_TARGET,221
27,10005,217,598,True,REACHED_TARGET,217
28,10005,255,696,True,REACHED_TARGET,255
29,10310,240,677,True,REACHED_TARGET,240
30,10055,221,650,True,REACHED_TARGET,221
31,10065,206,596,True,REACHED_TARGET,206
32,10055,172,565,True,REACHED_TARGET,172
33,10025,254,684,True,REACHED_TARGET,254
34,10025,193,598,True,REACHED_TARGET,193
35,10000,209,639,True,REACHED_TARGET,209
36,10000,248,674,True,REACHED_TARGET,248
37,10055,196,599,True,REACHED_TARGET,196
38,10020,203,610,True,REACHED_TARGET,203
39,10000,223,630,True,REACHED_TARGET,223
40,10210,175,553,True,REACHED_TARGET,175
41,10000,200,611,True,REACHED_TARGET,200
42,10035,223,620,True,REACHED_TARGET,223
43,10050,232,681,True,REACHED_TARGET,232
44,10030,211,635,True,REACHED_TARGET,211
45,10055,232,639,True,REACHED_TARGET,232
46,10005,237,624,True,REACHED_TARGET,237
47,10030,200,596,True,REACHED_TARGET,200
48,10035,229,657,True,REACHED_TARGET,229
49,10065,216,612,True,REACHED_TARGET,216
50,10030,224,650,True,REACHED_TARGET,224
51,10035,262,679,True,REACHED_TARGET,262
52,10010,203,645,True,REACHED_TARGET,203
53,10065,232,656,True,REACHED_TARGET,232
54,10000,227,631,True,REACHED_TARGET,227
55,10000,240,636,True,REACHED_TARGET,240
56,10040,203,631,True,REACHED_TARGET,203
57,10040,222,644,True,REACHED_TARGET,222
58,10045,231,633,True,REACHED_TARGET,231
59,10005,178,597,True,REACHED_TARGET,178
60,10010,212,636,True,REACHED_TARGET,212
61,10240,170,559,True,REACHED_TARGET,170
62,10070,211,602,True,REACHED_TARGET,211
63,10040,191,608,True,REACHED_TARGET,191
64,10015,237,638,True,REACHED_TARGET,237
65,10025,230,655,True,REACHED_TARGET,230
66,10000,228,641,True,REACHED_TARGET,228
67,10040,214,627,True,REACHED_TARGET,214
68,10000,220,620,True,REACHED_TARGET,220
69,10080,231,662,True,REACHED_TARGET,231
70,10010,223,647,True,REACHED_TARGET,223
71,10030,219,631,True,REACHED_TARGET,219
72,10030,194,626,True,REACHED_TARGET,194
73,10000,216,658,True,REACHED_TARGET,216
74,10030,209,645,True,REACHED_TARGET,209
75,10055,216,636,True,REACHED_TARGET,216
76,10000,239,637,True,REACHED_TARGET,239
77,10050,196,580,True,REACHED_TARGET,196
78,10020,232,631,True,REACHED_TARGET,232
79,10035,221,614,True,REACHED_TARGET,221
80,10035,229,615,True,REACHED_TARGET,229
81,10020,234,639,True,REACHED_TARGET,234
82,10105,237,630,True,REACHED_TARGET,237
83,10030,236,650,True,REACHED_TARGET,236
84,10085,195,611,True,REACHED_TARGET,195
85,10010,219,609,True,REACHED_TARGET,219
86,10000,241,637,True,REACHED_TARGET,241
87,10100,222,627,True,REACHED_TARGET,222
88,10095,210,618,True,REACHED_TARGET,210
89,10010,247,671,True,REACHED_TARGET,247
90,10020,205,641,True,REACHED_TARGET,205
91,10005,219,619,True,REACHED_TARGET,219
92,10050,230,638,True,REACHED_TARGET,230
93,10140,224,652,True,REACHED_TARGET,224
94,10025,194,577,True,REACHED_TARGET,194
95,10005,225,640,True,REACHED_TARGET,225
96,10010,250,667,True,REACHED_TARGET,250
97,10000,218,611,True,REACHED_TARGET,218
98,10020,231,622,True,REACHED_TARGET,231
99,10000,238,674,True,REACHED_TARGET,238
