cuvant,gasit,incercari
nomotetica,True,9
sărăcani,True,9
naufragiator,True,10
microzoosporii,True,8
vulcanogenei,True,10
metateriană,True,9
oxicarbonemie,True,10
ulotrihului,True,7
mnemonizarea,True,9
nivoglaciară,True,10
verbaliștii,True,10
minamata,True,6
neptuniste,True,9
kilobaitul,True,9
încărcătoarele,True,11
monovoltine,True,8
alcoolaților,True,7
împungălitelor,True,13
kafkaiana,True,7
marxologul,True,9
ulceriforme,True,9
nonviolentul,True,8
motomodelul,True,8
prăpăstuita,True,9
opistografa,True,9
ventilatoristului,True,11
metalotipii,True,9
variceliforma,True,10
litomorfelor,True,8
neonatologul,True,9
neurobiologicului,True,10
ultrasonoscoapele,True,11
vacuomului,True,9
noezelor,True,8
navicularei,True,9
virilizanților,True,9
moderanță,True,10
înglodita,True,11
metadona,True,10
velopalatinilor,True,10
leuconichii,True,8
quinoa,True,6
moluscumurile,True,9
virgat,True,9
vivificatoarea,True,9
miniradiouri,True,9
vaginantul,True,8
uviferi,True,7
vanilocviului,True,9
windsurfurile,True,10
uxorilocal,True,9
nimbării,True,7
aerodinamicitate,True,10
limonurilor,True,7
multimolecularilor,True,10
microaerofilă,True,10
linșorul,True,7
mondialității,True,10
metafizele,True,9
ortopticiana,True,8
metatarsalgie,True,10
neurotripsia,True,10
joncționarăți,True,10
martelări,True,8
menuiseriile,True,8
nemorala,True,8
lipogenele,True,7
leucoblast,True,11
vidajelor,True,12
navifoane,True,8
metoposcopiei,True,8
magnacardurile,True,12
xerofobele,True,9
martelatele,True,7
yoghină,True,10
moniliază,True,9
maniheeanul,True,8
nosofite,True,9
necrohormon,True,8
morfostructuralilor,True,11
vulcanizabilului,True,10
macrograficei,True,10
masoretului,True,10
micromagazinelor,True,11
nociceptorului,True,10
neurofibromului,True,10
matronale,True,9
nicotinizarăți,True,10
valutistele,True,8
nabism,True,8
manichiurării,True,9
neurogenei,True,9
jazzmanii,True,8
urticai,True,8
noritului,True,9
microminiaturile,True,11
metaliterarei,True,7
joncționale,True,9
limburgit,True,10
zimologic,True,8
